publication_MD,publication_name
annotationcollection,Annotation collection
book,Book
section,Book section
conferencepaper,Conference paper
datamanagementplan,Data management plan
article,Journal article
patent,Patent
preprint,Preprint
deliverable,Project deliverable
milestone,Project milestone
proposal,Proposal
report,Report
softwaredocumentation,Software documentation
taxonomictreatment,Taxonomic treatment
technicalnote,Technical note
thesis,Thesis
workingpaper,Working paper
other,Other
